id,lat,lon,alt,state,name
353827,45.3653,-119.5639,574.5,OR,HEPPNER
354003,45.6847,-121.5175,152.4,OR,HOOD-RIVER
356073,43.4133,-124.2436,1.8,OR,NORTH-BEND
356907,42.7342,-122.5164,756.5,OR,PROSPECT
358997,45.5722,-117.5314,890.9,OR,WALLOWA
363028,41.4003,-79.8303,309.4,PA,FRANKLIN
366233,41.0172,-80.3619,251.5,PA,NEW-CASTLE
368449,40.7933,-77.8672,356.6,PA,STATE-COLLEGE
368905,41.7511,-76.4431,231.6,PA,TOWANDA
369050,39.9150,-79.7192,291.4,PA,UNIONTOWN
369298,41.8500,-79.1500,368.8,PA,WARREN
374266,41.4906,-71.5414,34.7,RI,KINGSTON
380165,34.5283,-82.6606,243.8,SC,ANDERSON
381549,32.7800,-79.9319,3.0,SC,CHARLESTON-CITY
381588,34.7319,-79.8833,42.7,SC,CHERAW
381997,33.8314,-79.0558,6.1,SC,CONWAY
383754,34.1997,-82.1711,187.5,SC,GREENWOOD
385200,34.1942,-81.4150,216.7,SC,LITTLE-MTN
387722,34.6350,-81.5206,158.5,SC,SANTUCK
389350,34.9381,-81.0317,210.3,SC,WINTHROP
389469,32.6800,-80.8417,7.6,SC,YEMASSEE
390020,45.4433,-98.4131,395.3,SD,ABERDEEN
390043,43.4892,-99.0631,512.1,SD,ACADEMY
391739,44.8817,-97.7325,549.9,SD,CLARK
391972,43.9611,-101.8606,735.8,SD,COTTONWOOD
392797,45.7644,-99.6353,566.9,SD,EUREKA
392927,45.0364,-99.1342,478.5,SD,FAULKTON
393832,44.5222,-99.4550,576.1,SD,HIGHMORE
394007,43.4378,-103.4739,1085.1,SD,HOT-SPRINGS
394516,43.9072,-99.8628,518.2,SD,KENNEBEC
395456,45.1550,-98.5825,396.8,SD,MELLETTE
395481,43.2358,-97.5714,403.6,SD,MENNO
398932,44.9047,-97.1494,532.8,SD,WATERTOWN
401790,36.5467,-87.3567,116.4,TN,CLARKSVILLE
402108,35.5497,-89.7000,117.3,TN,COVINGTON
402489,36.0747,-87.3936,237.7,TN,DICKSON
402589,36.4819,-87.8628,144.8,TN,DOVER
404561,35.6214,-88.8456,121.9,TN,JACKSON
405187,35.4139,-86.8086,239.9,TN,LEWISBURG
405882,35.6717,-85.7811,286.5,TN,MC-MINNVILLE
406371,35.9203,-86.3728,163.1,TN,MURFREESBORO
407884,36.4161,-82.9839,413.0,TN,ROGERSVILLE
409155,35.3453,-86.2089,311.5,TN,TULLAHOMA
409219,36.3925,-89.0317,106.7,TN,UNION-CITY
