id,lat,lon,alt,state,name,mlow,mhigh
313017,35.0583,-78.8583,29.3,NC,FAYETTEVILLE,49,73
314055,35.0536,-83.1892,1170.4,NC,HIGHLANDS,42,62
315123,36.1028,-78.3039,79.2,NC,LOUISBURG,45,71
317615,35.6836,-80.4822,213.4,NC,SALISBURY,48,71
318500,35.8847,-77.5386,10.7,NC,TARBORO,49,72
321871,48.9075,-103.2944,595.0,ND,CROSBY,27,51
322188,46.8911,-102.8111,749.8,ND,DICKINSON,27,54
323621,47.9217,-97.0981,253.0,ND,GRAND-FORKS,29,50
324418,46.8844,-98.685,447.1,ND,JAMESTOWN,29,52
326947,48.9711,-97.2417,240.8,ND,PEMBINA,26,49
253185,41.4514,-97.7644,484.6,NE,GENOA,38,63
253365,40.94,-100.1522,787.9,NE,GOTHENBURG,37,64
254110,40.5208,-101.655,999.7,NE,IMPERIAL,36,64
254900,41.1489,-102.6361,1168.0,NE,LODGEPOLE,34,65
255565,40.5156,-98.9514,658.4,NE,MINDEN,38,64
256970,42.065,-100.2472,819.9,NE,PURDUM,34,62
273850,43.7031,-72.2847,183.8,NH,HANOVER,34,56
280325,39.3792,-74.4242,3.0,NJ,ATLANTIC-CITY,48,60
283029,40.5631,-74.8831,79.2,NJ,FLEMINGTON,40,63
291469,32.3478,-104.2225,951.0,NM,CARLSBAD,47,78
291515,33.6308,-105.8964,1647.4,NM,CARRIZOZO,40,71
291664,36.9178,-106.5781,2392.7,NM,CHAMA,25,58
291813,36.4661,-104.9456,1993.4,NM,CIMARRON,34,65
293265,32.7939,-108.1517,1872.1,NM,FT-BAYARD,40,69
294369,35.7783,-106.6872,1908.7,NM,JEMEZ-SPRINGS,36,66
299156,35.2006,-103.6867,1245.4,NM,TUCUMCARI,43,73
262573,40.8289,-115.7886,1533.1,NV,ELKO,29,62
269171,40.9017,-117.8081,1309.4,NV,WINNEMUCCA,32,65
303773,42.7747,-77.6083,274.9,NY,HEMLOCK,38,56
304555,44.2444,-73.9847,591.3,NY,LAKE-PLACID,29,52
309292,41.3906,-73.9608,97.5,NY,WEST-POINT,42,61
333375,40.1,-84.65,312.1,OH,GREENVILLE,40,60
333758,39.2,-83.6167,335.3,OH,HILLSBORO,42,62
336600,39.8386,-81.9167,310.9,OH,PHILO,41,62
338552,40.1,-83.7833,304.8,OH,URBANA,40,61
339312,40.7833,-81.9167,310.9,OH,WOOSTER,39,59
340017,34.7864,-96.685,309.4,OK,ADA,50,73
342912,36.4194,-97.8747,379.5,OK,ENID,48,71
344204,34.9894,-99.0525,474.3,OK,HOBART,48,73
350304,42.2128,-122.7144,532.2,OR,ASHLAND,39,65
352440,45.4539,-121.1303,405.4,OR,DUFUR,36,62
353770,45.4486,-122.1547,228.0,OR,PORTLAND,42,61
356073,43.4133,-124.2436,1.8,OR,NORTH-BEND,44,59
358997,45.5722,-117.5314,890.9,OR,WALLOWA,31,60
366233,41.0172,-80.3619,251.5,PA,NEW-CASTLE,38,62
368449,40.7933,-77.8672,356.6,PA,STATE-COLLEGE,40,59
368905,41.7511,-76.4431,231.6,PA,TOWANDA,37,59
369298,41.85,-79.15,368.8,PA,WARREN,37,58
374266,41.4906,-71.5414,34.7,RI,KINGSTON,39,59
380165,34.5283,-82.6606,243.8,SC,ANDERSON,50,73
381549,32.78,-79.9319,3.0,SC,CHARLESTON-CITY,59,73
381997,33.8314,-79.0558,6.1,SC,CONWAY,52,75
389350,34.9381,-81.0317,210.3,SC,WINTHROP,50,72
389469,32.68,-80.8417,7.6,SC,YEMASSEE,52,77
390020,45.4433,-98.4131,395.3,SD,ABERDEEN,31,55
391972,43.9611,-101.8606,735.8,SD,COTTONWOOD,32,61
392797,45.7644,-99.6353,566.9,SD,EUREKA,30,55
393832,44.5222,-99.455,576.1,SD,HIGHMORE,32,57
394516,43.9072,-99.8628,518.2,SD,KENNEBEC,34,61
401790,36.5467,-87.3567,116.4,TN,CLARKSVILLE,47,70
404561,35.6214,-88.8456,121.9,TN,JACKSON,48,70
405187,35.4139,-86.8086,239.9,TN,LEWISBURG,46,70
407884,36.4161,-82.9839,413.0,TN,ROGERSVILLE,45,69
410639,28.4575,-97.7061,77.7,TX,BEEVILLE,59,81
410902,29.7978,-98.7347,440.1,TX,BOERNE,53,77
411048,30.1592,-96.3972,95.4,TX,BRENHAM,57,79
412266,29.0567,-96.2319,21.3,TX,DANEVANG,59,80
413183,29.6778,-97.1111,158.5,TX,FLATONIA,58,80
413992,33.1578,-99.7456,487.7,TX,HASKELL,50,76
415618,32.5403,-94.3508,107.3,TX,MARSHALL,54,76
417079,34.1892,-101.7022,1027.2,TX,PLAINVIEW,45,73
422828,38.9664,-112.3278,1560.6,UT,FILLMORE,37,65
423809,40.4917,-111.4261,1703.8,UT,HEBER,28,61
424856,41.825,-111.3208,1822.7,UT,LAKETOWN,28,56
425733,38.5744,-109.5458,1242.7,UT,MOAB,40,71
428771,40.5278,-112.2975,1546.6,UT,TOOELE,40,62
444876,37.795,-79.4136,342.9,VA,LEXINGTON,42,67
449263,38.9036,-78.485,205.7,VA,WOODSTOCK,42,66
431243,43.3847,-72.5989,256.6,VT,CAVENDISH,31,56
450008,46.9658,-123.8292,3.0,WA,ABERDEEN,42,58
451276,46.72,-122.9528,56.4,WA,CENTRALIA,42,62
452007,47.6503,-118.1456,743.7,WA,DAVENPORT,34,57
454154,46.2111,-119.1011,118.9,WA,KENNEWICK,42,65
456096,48.6117,-122.8064,24.4,WA,OLGA,42,57
457938,47.6217,-117.5281,717.2,WA,SPOKANE,38,58
459012,47.6478,-120.0697,798.6,WA,WATERVILLE,34,56
459238,47.7569,-118.6775,679.7,WA,WILBUR,33,58
472839,43.7961,-88.4506,231.6,WI,FOND-DU-LAC,36,55
473405,44.1192,-89.5342,331.9,WI,HANCOCK,33,55
475255,45.1308,-90.3439,448.1,WI,MEDFORD,31,52
476922,42.7022,-87.7861,181.4,WI,RACINE,39,56
478027,45.8236,-91.8761,335.3,WI,SPOONER,31,53
468384,38.8008,-81.3619,287.4,WV,SPENCER,41,65
481730,41.7592,-104.8219,1616.7,WY,CHUGWATER,31,61
489770,44.0108,-107.9686,1237.5,WY,WORLAND,29,59
